Wall time,Step,Value
1694433142.2129793,18,2.567250967025757
1694433157.395282,47,2.421623706817627
1694433160.5362422,62,2.6189305782318115
1694433171.6287096,89,2.1475489139556885
1694433177.7394516,103,2.522967576980591
1694433179.3484082,107,2.510742664337158
1694433187.0240633,128,2.2751388549804688
1694433198.0532436,164,2.27952241897583
1694433199.9215882,172,2.2417514324188232
1694433219.4765184,244,2.4173107147216797
1694433226.2290041,259,2.268138885498047
1694433235.0122812,282,2.185406446456909
1694433254.9740903,319,1.7949249744415283
1694433279.0464835,386,2.119062900543213
1694433285.4698517,402,2.322938919067383
1694433289.2940772,415,2.2729039192199707
1694433300.6149554,437,2.0570969581604004
1694433313.2244096,465,2.365899085998535
1694433316.8891876,475,1.907869577407837
1694433320.426934,481,2.5105254650115967
1694433327.584277,510,2.5804808139801025
1694433332.567165,533,2.2902650833129883
1694433334.6439395,538,2.03243088722229
1694433335.5172431,540,2.7338099479675293
1694433340.014441,556,2.1047141551971436
1694433348.8368108,596,2.406743049621582
1694433356.8926704,637,2.2791929244995117
1694433358.017682,643,2.2465879917144775
1694433358.199183,644,2.1626832485198975
1694433361.0384698,658,2.2680563926696777
1694433364.1848402,675,2.345550537109375
1694433381.4203694,764,2.187079906463623
1694433383.610236,775,1.9074277877807617
1694433389.1096888,804,2.106687545776367
1694433399.5068147,857,2.004140615463257
1694433401.2209363,866,2.083348035812378
1694433405.0321286,886,2.113833427429199
1694433415.6907468,942,2.4498729705810547
1694433430.034723,1015,2.260387420654297
1694433432.1418042,1026,2.344527244567871
1694433434.3743453,1037,2.2771525382995605
1694433438.018127,1056,2.2893033027648926
1694433440.9295213,1071,1.8769466876983643
1694433448.8395326,1111,2.5225343704223633
1694433451.5102854,1125,1.9960798025131226
1694433452.8394942,1132,2.17779803276062
1694433456.6983783,1152,2.240220308303833
1694433458.9980834,1164,1.6713180541992188
1694433461.423074,1176,2.3482589721679688
1694433463.0247293,1184,2.528113842010498
1694433470.045227,1218,2.118239641189575
1694433476.8234944,1252,2.2737133502960205
1694433477.200703,1254,2.2932140827178955
1694433479.6807513,1267,2.129002094268799
1694433480.442382,1271,2.2583084106445312
1694433495.500157,1345,1.9267182350158691
1694433501.6190436,1376,2.1715316772460938
1694433509.8511174,1417,2.34443998336792
1694433517.83309,1457,2.13557767868042
1694433518.0244706,1458,2.158395767211914
1694433525.0947123,1494,2.201674461364746
1694433528.2830725,1510,2.213961601257324
1694433528.8441973,1513,2.1103274822235107
1694433535.8457663,1548,2.3089635372161865
1694433536.4282932,1551,2.2518017292022705
1694433539.1070075,1565,2.421674966812134
1694433545.0969944,1596,1.9593064785003662
1694433551.0834703,1627,2.069448471069336
1694433552.6123126,1635,2.431508779525757
1694433559.9409828,1670,1.826747179031372
1694433563.123344,1685,2.0459723472595215
1694433566.4162796,1702,2.4908134937286377
1694433566.7981539,1704,1.904497504234314
1694433568.1337733,1711,2.1470694541931152
1694433581.6934736,1777,2.0687341690063477
1694433595.2571635,1847,2.409456729888916
1694433597.8898363,1860,2.0768585205078125
1694433605.6402044,1899,2.1513209342956543
1694433607.5689704,1909,2.464334011077881
1694433613.66605,1940,2.2028872966766357
1694433617.7275813,1960,1.8136368989944458
1694433617.9134731,1961,2.039299726486206
1694433621.399388,1979,2.115712881088257
1694433639.0373409,2070,1.8886669874191284
1694433640.9174807,2079,2.164167881011963
1694433642.818134,2089,2.070922374725342
1694433644.91271,2100,2.142292022705078
1694433666.1321456,2209,2.2192108631134033
1694433688.8048744,2319,2.1123785972595215
1694433696.526224,2359,1.8094558715820312
1694433711.7223358,2436,2.106282949447632
1694433712.6957092,2441,2.04160737991333
1694433715.1930022,2454,2.422569751739502
1694433716.7201502,2462,2.25557804107666
1694433717.306208,2465,2.076523542404175
1694433721.4082892,2485,2.075892925262451
1694433724.8915493,2503,2.0117385387420654
1694433727.5384643,2517,2.137575626373291
1694433730.0963428,2530,2.338392972946167
1694433739.1185973,2577,1.9228441715240479
1694433739.3352115,2578,1.9548860788345337
1694433743.8905306,2599,1.927977204322815
1694433749.3539724,2627,2.478675365447998
1694433750.850295,2635,1.9646536111831665
1694433752.6868002,2643,1.7700473070144653
1694433760.8078644,2684,2.197946548461914
1694433762.5663595,2693,2.327643871307373
1694433765.4389858,2708,2.5258188247680664
1694433767.2050552,2717,1.8402488231658936
1694433771.8482428,2740,2.2893006801605225
1694433774.5395236,2753,2.409213066101074
1694433774.7237744,2754,2.1410958766937256
1694433774.911257,2755,2.0587592124938965
1694433777.423651,2768,2.3392274379730225
1694433780.656672,2785,2.1887030601501465
1694433785.778378,2812,2.034734010696411
1694433792.1215887,2844,1.708413004875183
1694433795.4152124,2861,1.7791088819503784
1694433849.1080675,2973,2.0062739849090576
1694433870.1482766,3083,2.2432289123535156
1694433870.3382301,3084,2.053201198577881
1694433874.0822818,3104,1.9632658958435059
1694433874.2726567,3105,1.8921974897384644
1694433877.0829024,3120,1.770768165588379
1694433882.1155176,3145,2.286348581314087
1694433893.1956284,3199,2.519305467605591
1694433896.6410542,3217,2.199115514755249
1694433902.3653457,3241,2.1133432388305664
1694433906.9070995,3265,2.022747755050659
1694433907.4659169,3268,1.86436128616333
1694433925.0793257,3356,2.113534927368164
1694433934.371825,3404,2.1163113117218018
1694433946.0825179,3461,2.0989556312561035
1694433950.2612612,3483,1.6253365278244019
1694433951.904128,3491,2.5659704208374023
1694433953.6240382,3500,2.12976336479187
1694433958.8765483,3526,1.9490739107131958
1694433966.5213635,3566,2.21931529045105
1694433967.0910013,3569,2.1204819679260254
1694433973.0703778,3600,2.5809240341186523
1694433976.2423398,3616,2.2440028190612793
1694433983.6333828,3654,2.059365749359131
1694433984.2071085,3657,2.1559460163116455
1694433984.968724,3661,2.2236647605895996
1694433986.3232582,3668,2.180673599243164
1694433986.8995929,3671,2.399240255355835
1694433990.5661585,3690,1.8093863725662231
1694433994.7532516,3712,1.8951268196105957
1694434004.4701154,3761,1.602283239364624
1694434008.5206738,3782,2.3848845958709717
1694434021.1273272,3848,2.198230743408203
1694434021.545595,3850,1.872369647026062
1694434031.3939865,3902,1.5819296836853027
1694434034.1454525,3915,2.4236412048339844
1694434035.3838248,3921,1.8825085163116455
1694434037.6524293,3933,1.700756311416626
1694434046.5916216,3975,2.0560286045074463
1694434053.6722448,4012,2.0288426876068115
1694434055.7364779,4023,2.03061580657959
1694434060.4327345,4047,2.214966058731079
1694434067.548282,4084,1.9789628982543945
1694434072.4415185,4109,1.9128289222717285
1694434074.7637136,4121,2.1042184829711914
1694434075.346469,4124,1.7234535217285156
1694434079.7001803,4146,2.0670599937438965
1694434086.4148152,4181,1.8367351293563843
1694434088.5353286,4192,2.129225492477417
1694434095.2701232,4227,2.173292636871338
1694434101.1002777,4257,2.123901605606079
1694434112.804391,4318,1.9438416957855225
1694434114.760045,4328,2.3915865421295166
1694434139.5980024,4454,1.3636620044708252
1694434155.4626176,4535,1.9117344617843628
1694434156.2355561,4539,2.198038339614868
1694434161.0304904,4564,2.293118476867676
1694434170.5979655,4612,2.1253204345703125
1694434177.592374,4649,2.2876949310302734
1694434185.6366673,4690,2.208759069442749
1694434186.0364618,4692,2.0025289058685303
1694434187.173517,4698,2.292532205581665
1694434188.8966584,4707,1.9745112657546997
1694434193.3580947,4730,1.9922024011611938
1694434202.9409215,4777,2.1196651458740234
1694434214.080101,4832,2.1862363815307617
1694434214.6692789,4835,2.1050808429718018
1694434214.8561583,4836,2.1005592346191406
1694434216.455546,4844,2.013753652572632
1694434224.199993,4882,2.102187156677246
1694434229.5183542,4910,2.0422496795654297
1694434233.2035956,4929,1.7055931091308594
1694434237.645916,4949,2.5541915893554688
1694434243.6514118,4980,1.7839311361312866
1694434262.7440598,5079,1.6377038955688477
1694434264.5731678,5088,1.670788288116455
1694434264.946168,5090,1.8124001026153564
1694434273.2351372,5132,2.094329833984375
1694434274.0170841,5136,1.9924657344818115
1694434277.087201,5151,1.8628003597259521
1694434277.85386,5155,1.871345043182373
1694434284.2278423,5187,2.1422855854034424
1694434286.9796498,5200,2.0123419761657715
1694434291.7507339,5225,1.6613712310791016
1694434294.2817507,5238,1.5237107276916504
1694434297.4591951,5253,2.4222121238708496
1694434299.1938207,5262,2.0540573596954346
1694434305.7163064,5295,1.8910651206970215
